,Label_Name,Label_Count,Labels_Detected,Detection_Accuracy,Fuzzy_Match_Percentage,Complete_Match_Count_Detected,Complete_Match_Count,Complete_Match_Percentage
0,beneficiary_bank_name,4,0,0.0,0.0,0.0,0,0.0
1,beneficiary_country,4,0,0.0,0.0,0.0,0,0.0
2,beneficiary_drawer_exporter_seller_supplier_name,4,4,100.0,79.25,0.25,1,25.0
3,beneficiary_iban_number,4,0,0.0,0.0,0.0,0,0.0
4,consignee_address,4,0,0.0,0.0,0.0,0,0.0
5,consignor_name,4,0,0.0,0.0,0.0,0,0.0
6,country_of_final_destination,4,2,50.0,0.0,0.0,0,0.0
7,date_of_invoice,4,4,100.0,80.0,1.0,4,100.0
8,goods_description,4,4,100.0,79.0,0.75,3,75.0
9,incoterm,4,0,0.0,0.0,0.0,0,0.0
10,invoice_amount,4,4,100.0,100.0,1.0,4,100.0
11,invoice_currency,4,0,0.0,0.0,0.0,0,0.0
12,invoice_due_date,4,0,0.0,0.0,0.0,0,0.0
13,is_stamp,4,4,100.0,0.0,0.0,0,0.0
14,lc_date,4,4,100.0,77.5,0.75,3,75.0
15,lc_ref_no,4,4,100.0,98.0,1.0,4,100.0
16,remitter_country,4,2,50.0,0.0,0.0,0,0.0
17,remitter_drawee_applicant_importer_buyer_name,4,4,100.0,91.75,1.0,4,100.0
18,total_quantity_of_goods,4,0,0.0,0.0,0.0,0,0.0
19,OVERALL,76,36,47.368421052631575,31.86842105263158,0.6388888888888888,23,0.3026315789473684
